Planner Name or Controller,Controller Type,Zengarden,lighthouse,hacienda,snowtuxpeak,cornfield_crossing,scotland,cocoa_temple
Justin_Planner_3,AI,29.9,37.2,49,42.2,60.9,51.2,75.4
Justin_Planner_3,AI,29.3,36,49.8,42.2,61,48.7,66.8
Controller,AI,31,36.1,49.4,42.1,58,49.4,100
Controller,AI,31,36.1,49.4,42.1,58,49.4,100
Justin_Planner_2,AI,29.6,37.1,48.5,42.8,60,50.6,69.6
Justin_Planner_2,AI,29.6,37.2,48.9,42.8,58.1,49.7,88.1
Controller,AI,31,36.1,49.4,42.1,58,49.4,100
Controller,AI,31,36.1,49.4,42.1,58,49.4,100
Justin_Planner_1,AI,30.6,36.2,49.5,42.3,61.2,49.8,55.4
Justin_Planner_1,AI,28.9,36.8,49.5,42.3,58.2,48.4,66.3
Controller,AI,31,36.1,49.4,42.1,58,49.4,100
Controller,AI,31,36.1,49.4,42.1,58,49.4,100
Robert_256_Layer,AI,29,35,49.3,46.6,57.8,50.2,62.7
Robert_256_Layer,AI,31.2,36.8,49.3,46.6,55.1,49.5,54.6
Controller,AI,31,36.1,49.4,42.1,58,49.4,100
Controller,AI,31,36.1,49.4,42.1,58,49.4,100
Controller,AI,30.5,38.3,49.9,47.3,60.8,51.8,100
